epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
0,57.741211891174316,,65.64826850891113,,,
1,6.044053924711127,0.4375,1.2769518852233888,0.47368421052631576,0.0,0.35555555555555557
2,4.059015628930769,0.5131578947368421,1.0294271111488342,0.5789473684210527,0.6923076923076923,0.6944444444444444
3,3.7835865742281864,0.506578947368421,2.0294334053993226,0.47368421052631576,0.47368421052631576,0.4527777777777778
4,3.3227651213344775,0.4276315789473684,1.1662288546562194,0.5,0.3870967741935484,0.48333333333333334
5,2.6699676419559277,0.555921052631579,1.573331344127655,0.5263157894736842,0.6086956521739131,0.538888888888889
6,2.9639193396034993,0.48026315789473684,0.8270834386348724,0.5526315789473685,0.6909090909090909,0.5333333333333333
7,2.4042835619888807,0.4934210526315789,1.0007622241973877,0.6052631578947368,0.6808510638297872,0.5305555555555556
8,1.6984910384604806,0.5230263157894737,0.8709941864013672,0.4473684210526316,0.2222222222222222,0.42222222222222217
9,1.592829811729883,0.5888157894736842,1.111298108100891,0.5,0.2962962962962963,0.3944444444444445
10,1.7963441437796543,0.4769736842105263,0.9131297707557678,0.4473684210526316,0.46153846153846156,0.4222222222222223
11,1.3088650483834117,0.5,0.7520754218101502,0.5526315789473685,0.6046511627906976,0.586111111111111
12,1.1957785753827346,0.5230263157894737,0.7499470233917236,0.5263157894736842,0.6666666666666666,0.3944444444444445
13,1.23312351891869,0.5361842105263158,0.9628805994987488,0.34210526315789475,0.358974358974359,0.35555555555555557
14,1.1114301501136077,0.5263157894736842,0.6759783387184143,0.631578947368421,0.7083333333333334,0.55
15,0.9825860685423801,0.5328947368421053,0.89406259059906,0.3684210526315789,0.25,0.30833333333333335
16,0.9810704181068822,0.506578947368421,0.714903450012207,0.5263157894736842,0.6538461538461539,0.5333333333333333
17,0.9495926271927985,0.5263157894736842,0.6540957689285278,0.631578947368421,0.7307692307692307,0.6777777777777778
18,1.0149409857235456,0.47039473684210525,0.6938955426216126,0.47368421052631576,0.5454545454545454,0.4916666666666667
19,0.861060021739257,0.5032894736842105,0.6683148622512818,0.6052631578947368,0.6666666666666666,0.6444444444444445
20,0.8078899477657518,0.5032894736842105,0.6538990020751954,0.6842105263157895,0.7142857142857143,0.7416666666666667
21,0.9244616980615415,0.47039473684210525,0.6809716343879699,0.5263157894736842,0.6086956521739131,0.5861111111111111
22,0.8309327081630105,0.5328947368421053,0.6961506724357605,0.5789473684210527,0.6521739130434783,0.5111111111111111
23,0.8069529062823245,0.5230263157894737,0.7069333672523499,0.4473684210526316,0.5333333333333333,0.43611111111111106
24,0.820008850411365,0.5394736842105263,0.7125904440879822,0.47368421052631576,0.5454545454545454,0.47777777777777775
25,0.9266760098306757,0.5032894736842105,0.6804153084754944,0.5789473684210527,0.6521739130434783,0.6305555555555555
26,0.7593466561091574,0.5756578947368421,0.6945243597030639,0.5263157894736842,0.6086956521739131,0.5916666666666667
27,0.7869779632279748,0.5098684210526315,0.7196513652801514,0.5526315789473685,0.6382978723404256,0.5388888888888889
28,0.7834675131659758,0.5789473684210527,0.7238316059112548,0.47368421052631576,0.5238095238095238,0.5361111111111111
29,0.7932130757131075,0.5493421052631579,0.7147820353507995,0.42105263157894735,0.5,0.5
30,0.7318758384177559,0.5657894736842105,0.7039647102355957,0.5,0.5777777777777777,0.5222222222222221
31,0.7804634555390007,0.5296052631578947,0.7102579951286316,0.5263157894736842,0.5909090909090909,0.5583333333333333
32,0.7807012341524425,0.4868421052631579,0.7362359881401062,0.42105263157894735,0.47619047619047616,0.46944444444444444
33,0.7694834878570155,0.5427631578947368,0.7114360690116882,0.4473684210526316,0.5116279069767442,0.47500000000000003
34,0.8073563999251315,0.5328947368421053,0.6940080761909485,0.47368421052631576,0.5454545454545454,0.48888888888888893
35,0.743660148821379,0.5427631578947368,0.693482768535614,0.5526315789473685,0.6382978723404256,0.49999999999999994
36,0.7764657092721838,0.555921052631579,0.6985093355178833,0.4473684210526316,0.5333333333333333,0.5083333333333333
37,0.8253371056757475,0.4901315789473684,0.6867368698120118,0.5,0.5957446808510638,0.5277777777777779
38,0.7991638858067361,0.4967105263157895,0.692013943195343,0.42105263157894735,0.5,0.475
39,0.8047398430736441,0.47039473684210525,0.6905661821365356,0.47368421052631576,0.5454545454545454,0.5
40,0.7569567545464164,0.5131578947368421,0.6910348892211914,0.5,0.5581395348837209,0.4888888888888889
