epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
0,31.8332655707071,,28.46820855140686,,,
1,6.190800743008202,0.5116279069767442,3.9419778279889215,0.5614035087719298,0.0,0.6000000000000001
2,4.433585194024173,0.5581395348837209,2.618789277970791,0.45614035087719296,0.5507246376811594,0.505
3,4.2401857647028836,0.5058139534883721,1.8726560920476913,0.45614035087719296,0.5373134328358209,0.49
4,3.349003634669564,0.5290697674418605,1.2954514436423779,0.47368421052631576,0.25,0.49
5,2.4892360385168684,0.5116279069767442,1.3194522187113762,0.47368421052631576,0.53125,0.48500000000000004
6,3.1218646825714544,0.45930232558139533,0.8707375004887581,0.43859649122807015,0.5897435897435898,0.36
7,3.0653937309980392,0.5,1.292393323034048,0.49122807017543857,0.5671641791044776,0.45625000000000004
8,3.000895369459282,0.46511627906976744,1.9457532986998558,0.5789473684210527,0.2,0.51875
9,2.2568846372040836,0.45348837209302323,1.7556129693984985,0.5087719298245614,0.2631578947368421,0.43000000000000005
10,2.8564109910618174,0.5058139534883721,1.1368944570422173,0.543859649122807,0.0,0.37625000000000003
11,2.095473964105953,0.4941860465116279,1.1924345418810844,0.5087719298245614,0.06666666666666667,0.43875
12,2.491345066915859,0.5174418604651163,1.0797273442149162,0.5263157894736842,0.22857142857142856,0.44375
13,1.9390189288692041,0.4941860465116279,1.939738191664219,0.49122807017543857,0.21621621621621623,0.4825
14,1.9903219409964301,0.5348837209302325,1.9725869297981262,0.5087719298245614,0.3,0.48625000000000007
15,2.1553486558524044,0.5406976744186046,1.15391144156456,0.40350877192982454,0.5277777777777778,0.40375
16,1.7897321175445209,0.4418604651162791,0.7318770438432693,0.47368421052631576,0.6052631578947368,0.4600000000000001
17,2.075318065556613,0.47674418604651164,1.143793024122715,0.45614035087719296,0.39215686274509803,0.40125
18,1.4802016954530368,0.5116279069767442,0.7437284775078297,0.5263157894736842,0.12903225806451613,0.485
19,2.0080610391768543,0.47674418604651164,0.8181393072009087,0.5087719298245614,0.125,0.39125
20,1.1570649715987118,0.5465116279069767,0.8564794063568115,0.45614035087719296,0.5373134328358209,0.41
21,1.5924289240078493,0.5465116279069767,0.8632488772273064,0.49122807017543857,0.12121212121212122,0.41375000000000006
22,1.8100840029391376,0.5232558139534884,1.1901758462190628,0.5087719298245614,0.125,0.40249999999999997
23,1.2814985554326663,0.5058139534883721,1.0487025082111359,0.5263157894736842,0.22857142857142856,0.43875
24,1.2074020355939865,0.563953488372093,0.9858055859804153,0.5263157894736842,0.18181818181818182,0.45
25,1.290833138606765,0.5465116279069767,0.8201718553900719,0.543859649122807,0.0,0.42374999999999996
26,1.1106202656572515,0.5,0.8455300703644753,0.45614035087719296,0.06060606060606061,0.42750000000000005
27,1.2415233796293086,0.4883720930232558,0.8415407761931419,0.45614035087719296,0.4745762711864407,0.4275
28,1.5179446163502606,0.6046511627906976,0.8614266812801361,0.543859649122807,0.0,0.42
29,1.402043811299584,0.5523255813953488,0.9303231537342072,0.49122807017543857,0.0,0.3937500000000001
30,1.1964595168828964,0.5406976744186046,0.898929201066494,0.49122807017543857,0.06451612903225806,0.33749999999999997
31,1.0495196093212475,0.5813953488372093,0.8567108660936356,0.5263157894736842,0.0,0.3675
32,1.0061476650563153,0.5465116279069767,0.8428246676921844,0.49122807017543857,0.0,0.39625
33,1.1191957579417662,0.5581395348837209,0.8433590829372406,0.5087719298245614,0.0,0.41125
34,1.3569020208987324,0.5290697674418605,0.851690411567688,0.5087719298245614,0.0,0.38
35,1.8661779246547006,0.5116279069767442,0.8527484312653542,0.543859649122807,0.0,0.40499999999999997
36,1.3225453794002533,0.5465116279069767,0.8717673122882843,0.47368421052631576,0.0,0.38875
37,1.38224505294453,0.5116279069767442,0.8183255791664124,0.47368421052631576,0.0,0.42499999999999993
38,1.4415676512501456,0.5174418604651163,0.7528986632823944,0.5263157894736842,0.0,0.47625
39,1.1887420808727092,0.5058139534883721,0.864857479929924,0.5087719298245614,0.0,0.33625
40,1.2369967983527617,0.4883720930232558,0.8195196241140366,0.49122807017543857,0.06451612903225806,0.43500000000000005
